"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2023","0.09","0.07","0.09","0.07","3.89M","36.21%"
"05/02/2023","0.07","0.07","0.07","0.05","4.79M","-15.82%"
"05/01/2023","0.08","0.09","0.09","0.07","6.23M","-15.79%"
"04/28/2023","0.09","0.13","0.13","0.09","4.88M","-25.82%"
"04/27/2023","0.13","0.13","0.14","0.12","3.34M","0.00%"
"04/26/2023","0.13","0.13","0.13","0.12","3.76M","0.00%"
"04/25/2023","0.13","0.16","0.16","0.13","5.67M","-15.71%"
"04/24/2023","0.16","0.16","0.18","0.15","2.65M","0.00%"
"04/21/2023","0.16","0.17","0.17","0.15","2.79M","0.00%"
"04/20/2023","0.16","0.18","0.18","0.16","5.87M","-15.98%"
"04/19/2023","0.19","0.16","0.19","0.14","13.33M","26.01%"
"04/18/2023","0.15","0.17","0.17","0.15","1.67M","-7.27%"
"04/17/2023","0.17","0.17","0.17","0.15","4.04M","-3.51%"
"04/14/2023","0.17","0.16","0.18","0.16","7.18M","6.88%"
"04/13/2023","0.16","0.15","0.16","0.15","4.73M","6.60%"
"04/12/2023","0.15","0.14","0.15","0.14","5.73M","5.70%"
"04/11/2023","0.14","0.16","0.17","0.13","3.62M","-5.33%"
"04/10/2023","0.15","0.17","0.17","0.14","7.45M","-9.09%"
"04/06/2023","0.17","0.16","0.19","0.15","6.61M","3.97%"
"04/05/2023","0.16","0.17","0.18","0.15","4.79M","-5.54%"
"04/04/2023","0.17","0.18","0.19","0.15","12.19M","0.00%"
"04/03/2023","0.17","0.19","0.22","0.16","15.86M","-7.16%"
"03/31/2023","0.18","0.19","0.23","0.15","25.82M","-3.05%"
"03/30/2023","0.19","0.30","0.35","0.17","51.90M","-21.35%"
"03/29/2023","0.24","0.13","0.28","0.12","76.75M","84.62%"
"03/28/2023","0.13","0.41","0.60","0.09","83.64M","-99.81%"
"03/10/2023","70.00","75.03","90.67","61.37","21.71M","-22.87%"
"03/09/2023","90.76","95.90","100.30","90.33","8.56M","-12.18%"
"03/08/2023","103.35","104.65","105.47","101.83","2.19M","-1.47%"
"03/07/2023","104.89","109.83","111.24","104.76","1.65M","-5.41%"
"03/06/2023","110.89","111.65","114.53","110.68","1.59M","-2.47%"
"03/03/2023","113.70","110.50","114.35","109.38","1.49M","3.78%"
"03/02/2023","109.56","106.48","109.62","104.63","2.58M","-2.71%"
"03/01/2023","112.61","113.89","114.56","110.96","897.36K","-2.12%"
"02/28/2023","115.05","113.90","116.75","112.00","975.99K","1.09%"
"02/27/2023","113.81","117.04","117.10","113.32","656.39K","-0.35%"
"02/24/2023","114.21","113.57","115.25","112.79","686.98K","-1.78%"
"02/23/2023","116.28","119.00","119.26","113.39","710.67K","-0.60%"
"02/22/2023","116.98","117.21","119.32","114.97","799.38K","0.17%"
"02/21/2023","116.78","123.03","123.24","116.36","898.15K","-6.06%"
"02/17/2023","124.31","125.97","126.59","122.53","797.20K","-2.13%"
"02/16/2023","127.02","131.15","132.66","127.01","930.77K","-5.76%"
"02/15/2023","134.78","129.23","134.85","127.90","817.84K","3.56%"
"02/14/2023","130.15","130.12","133.80","127.40","615.48K","-0.40%"
"02/13/2023","130.67","128.40","131.45","127.03","701.26K","0.57%"
"02/10/2023","129.93","131.59","133.76","128.48","1.06M","-3.22%"
"02/09/2023","134.25","137.57","137.88","132.82","1.32M","-1.14%"
"02/08/2023","135.80","137.02","139.14","135.04","990.89K","-2.12%"
"02/07/2023","138.74","133.78","139.21","132.18","1.28M","2.88%"
"02/06/2023","134.85","136.40","137.86","133.94","1.06M","-2.94%"
"02/03/2023","138.93","135.71","142.99","134.30","1.33M","-2.96%"
"02/02/2023","143.17","139.75","149.72","139.65","2.14M","5.66%"
"02/01/2023","135.50","128.17","138.01","126.43","1.90M","5.08%"
"01/31/2023","128.95","122.84","128.96","122.74","1.22M","5.32%"
"01/30/2023","122.44","125.33","126.35","122.24","994.47K","-3.89%"
"01/27/2023","127.39","124.99","127.60","124.06","1.25M","1.54%"
"01/26/2023","125.46","127.44","127.54","123.58","948.28K","-0.39%"
"01/25/2023","125.95","124.94","126.42","119.92","2.03M","-1.16%"
"01/24/2023","127.43","128.49","129.11","125.32","825.87K","-1.30%"
"01/23/2023","129.11","130.18","131.05","127.34","1.85M","1.03%"
"01/20/2023","127.79","120.89","128.68","120.06","1.69M","7.47%"
"01/19/2023","118.91","116.86","119.75","114.22","1.26M","0.46%"
"01/18/2023","118.36","119.15","127.91","117.65","1.97M","-2.33%"
"01/17/2023","121.18","126.05","131.85","117.52","3.00M","2.37%"
"01/13/2023","118.37","113.49","119.05","112.04","1.48M","1.14%"
"01/12/2023","117.04","118.38","119.00","114.00","1.07M","-0.58%"
"01/11/2023","117.72","115.00","117.89","113.27","1.08M","2.80%"
"01/10/2023","114.51","113.66","116.33","110.23","1.54M","-1.11%"
"01/09/2023","115.79","115.31","119.18","114.48","1.21M","-0.44%"
"01/06/2023","116.30","109.49","116.93","106.81","1.65M","4.93%"
"01/05/2023","110.84","110.32","115.65","109.44","2.04M","-6.02%"
"01/04/2023","117.94","115.80","119.45","114.25","1.07M","4.21%"
"01/03/2023","113.17","117.14","118.21","112.56","1.12M","-1.78%"
"12/30/2022","115.22","113.98","115.89","113.34","900.10K","-0.78%"
"12/29/2022","116.12","112.41","117.35","112.26","1.07M","3.97%"
"12/28/2022","111.69","113.98","114.60","110.06","911.25K","-2.01%"
"12/27/2022","113.98","114.79","115.40","112.99","584.19K","-0.89%"
"12/23/2022","115.00","115.51","115.75","112.99","357.18K","-0.53%"
"12/22/2022","115.61","113.73","115.72","111.02","825.52K","0.32%"
"12/21/2022","115.24","115.56","117.00","113.47","804.58K","1.16%"
"12/20/2022","113.92","114.21","116.21","113.37","598.36K","-0.07%"
"12/19/2022","114.00","114.09","115.01","112.24","821.17K","0.11%"
"12/16/2022","113.87","114.79","117.01","113.25","2.78M","-1.33%"
"12/15/2022","115.41","114.07","117.15","113.76","996.75K","-1.06%"
"12/14/2022","116.65","119.56","122.22","114.79","1.29M","-2.79%"
"12/13/2022","120.00","126.51","128.39","119.01","1.48M","-2.22%"
"12/12/2022","122.73","119.28","123.33","116.46","1.20M","3.52%"
"12/09/2022","118.56","118.32","121.00","117.23","879.63K","-0.62%"
"12/08/2022","119.30","117.93","120.72","115.84","1.41M","1.97%"
"12/07/2022","116.99","114.97","118.87","113.45","2.05M","-1.57%"
"12/06/2022","118.86","125.70","125.79","118.50","2.42M","-5.58%"
"12/05/2022","125.88","134.00","134.88","124.38","1.40M","-7.44%"
"12/02/2022","136.00","135.88","137.35","134.91","612.17K","-1.48%"
"12/01/2022","138.04","139.90","141.74","137.06","813.46K","-1.05%"
"11/30/2022","139.50","135.69","139.85","131.81","1.14M","2.89%"
"11/29/2022","135.58","135.23","137.65","134.19","792.31K","0.98%"
"11/28/2022","134.27","137.82","140.85","133.47","1.05M","-4.26%"
"11/25/2022","140.24","139.00","140.59","138.53","291.63K","0.52%"
"11/23/2022","139.51","136.32","140.40","135.33","757.22K","2.44%"
"11/22/2022","136.19","133.00","136.34","131.43","1.12M","3.17%"
"11/21/2022","132.00","131.62","132.95","130.28","926.63K","-0.02%"
"11/18/2022","132.03","135.30","135.88","130.34","1.26M","0.02%"
"11/17/2022","132.01","135.11","135.50","130.12","1.02M","-4.35%"
"11/16/2022","138.01","144.90","145.78","137.10","1.18M","-6.71%"
"11/15/2022","147.94","143.58","157.41","143.32","1.94M","6.61%"
"11/14/2022","138.77","143.53","145.03","138.69","1.24M","-3.62%"
"11/11/2022","143.98","137.50","145.46","137.00","1.58M","2.16%"
"11/10/2022","140.94","139.31","144.79","137.97","2.65M","6.76%"
"11/09/2022","132.02","138.00","138.07","129.96","1.83M","-7.12%"
"11/08/2022","142.14","147.53","149.52","136.88","2.37M","-4.21%"
"11/07/2022","148.38","148.90","150.10","145.66","508.98K","-0.10%"
"11/04/2022","148.53","148.72","149.65","145.15","581.55K","3.02%"
"11/03/2022","144.18","144.32","145.32","141.43","697.47K","-1.69%"
"11/02/2022","146.66","159.57","159.57","146.56","1.14M","-8.34%"
"11/01/2022","160.01","160.75","162.93","159.75","893.85K","0.93%"
"10/31/2022","158.53","158.02","161.38","156.13","947.41K","-0.11%"
"10/28/2022","158.70","151.69","158.76","151.44","758.08K","4.81%"
"10/27/2022","151.41","158.33","158.87","151.01","566.66K","-2.83%"
"10/26/2022","155.82","152.66","158.64","151.93","791.85K","2.14%"
"10/25/2022","152.55","147.19","152.73","146.58","849.53K","2.94%"
"10/24/2022","148.19","143.50","148.46","141.78","1.21M","4.13%"
"10/21/2022","142.31","142.54","143.93","135.10","1.35M","-0.25%"
"10/20/2022","142.66","151.91","154.02","142.40","1.18M","-6.32%"
"10/19/2022","152.29","153.79","155.87","150.75","1.77M","-3.18%"
"10/18/2022","157.29","143.50","159.28","141.12","2.32M","2.76%"
"10/17/2022","153.06","151.81","156.04","150.57","1.60M","5.56%"
"10/14/2022","145.00","156.96","157.99","144.69","1.24M","-5.72%"
"10/13/2022","153.79","144.27","155.78","141.30","712.92K","3.60%"
"10/12/2022","148.45","148.36","150.79","146.00","517.56K","-0.15%"
"10/11/2022","148.68","152.00","153.31","147.65","891.48K","-2.47%"
"10/10/2022","152.44","154.73","155.76","151.02","699.40K","-0.36%"
"10/07/2022","152.99","154.93","155.05","151.36","467.28K","-2.92%"
"10/06/2022","157.59","158.77","161.71","157.29","416.08K","-1.97%"
"10/05/2022","160.76","159.29","161.42","156.50","415.47K","-2.03%"
"10/04/2022","164.09","160.51","165.20","160.51","909.79K","4.53%"
"10/03/2022","156.98","153.22","157.19","151.04","645.20K","3.96%"
"09/30/2022","151.00","152.09","153.97","149.68","811.90K","-1.23%"
"09/29/2022","152.88","151.87","154.74","149.21","783.68K","-1.36%"
"09/28/2022","154.99","151.85","156.47","150.04","502.33K","3.23%"
"09/27/2022","150.14","153.00","154.29","146.00","973.20K","-0.57%"
"09/26/2022","151.00","155.00","158.63","150.85","882.58K","-3.29%"
"09/23/2022","156.14","157.38","158.05","152.50","638.47K","-2.42%"
"09/22/2022","160.01","169.42","169.84","159.90","768.78K","-5.08%"
"09/21/2022","168.57","170.62","175.13","168.26","679.66K","-0.30%"
"09/20/2022","169.08","169.98","171.45","166.63","543.77K","-1.78%"
"09/19/2022","172.15","169.16","174.48","168.88","478.46K","0.14%"
"09/16/2022","171.91","175.70","175.70","169.92","1.22M","-3.85%"
"09/15/2022","178.80","177.18","184.88","176.49","488.91K","0.86%"
"09/14/2022","177.27","178.15","178.70","174.14","616.28K","-0.33%"
"09/13/2022","177.85","179.92","181.66","177.42","728.25K","-5.30%"
"09/12/2022","187.81","184.63","189.06","183.38","494.63K","2.20%"
"09/09/2022","183.76","184.83","186.85","183.50","519.70K","1.48%"
"09/08/2022","181.08","172.27","182.00","171.64","800.37K","3.25%"
"09/07/2022","175.38","167.13","175.60","166.91","910.61K","4.16%"
"09/06/2022","168.37","173.26","173.26","166.12","1.14M","-1.70%"
"09/02/2022","171.28","175.18","175.50","169.97","554.70K","-0.28%"
"09/01/2022","171.76","172.32","172.32","168.45","592.53K","-1.49%"
"08/31/2022","174.36","177.44","179.16","173.93","562.48K","-1.25%"
"08/30/2022","176.57","179.94","180.64","174.40","511.71K","-0.83%"
"08/29/2022","178.04","180.83","181.93","176.94","629.21K","-1.71%"
"08/26/2022","181.14","193.17","193.67","181.12","1.58M","-5.09%"
"08/25/2022","190.85","187.93","192.00","186.98","779.96K","2.13%"
"08/24/2022","186.87","185.74","189.56","185.65","427.80K","0.42%"
"08/23/2022","186.08","185.29","188.92","185.29","425.10K","0.38%"
"08/22/2022","185.37","187.73","187.73","183.32","657.26K","-2.42%"
"08/19/2022","189.96","196.90","197.33","188.71","902.74K","-5.80%"
"08/18/2022","201.65","200.30","202.39","199.33","650.98K","-0.05%"
"08/17/2022","201.76","203.63","204.85","200.25","438.62K","-2.59%"
"08/16/2022","207.12","204.24","208.48","200.83","406.87K","1.16%"
"08/15/2022","204.74","203.55","205.74","202.30","878.35K","-0.81%"
"08/12/2022","206.41","204.68","206.58","201.25","322.60K","2.15%"
"08/11/2022","202.06","200.00","204.76","198.49","549.00K","2.50%"
"08/10/2022","197.14","192.60","201.03","190.93","616.05K","5.42%"
"08/09/2022","187.00","188.43","188.44","185.24","445.40K","-0.94%"
"08/08/2022","188.77","187.57","192.64","187.57","413.41K","0.80%"
"08/05/2022","187.28","184.52","191.21","184.28","402.04K","0.50%"
"08/04/2022","186.35","187.67","188.00","184.74","445.93K","-1.20%"
"08/03/2022","188.61","185.79","189.73","185.79","449.29K","1.93%"
"08/02/2022","185.04","183.28","186.94","181.03","487.08K","0.97%"
"08/01/2022","183.27","184.15","185.23","179.20","1.01M","-1.24%"
"07/29/2022","185.57","185.82","187.98","184.26","548.32K","0.06%"
"07/28/2022","185.46","179.51","185.54","177.71","852.00K","2.74%"
"07/27/2022","180.51","176.54","181.72","175.74","1.10M","3.15%"
"07/26/2022","174.99","178.88","180.17","174.68","850.98K","-3.54%"
"07/25/2022","181.42","177.99","182.24","175.61","1.19M","3.14%"
"07/22/2022","175.89","181.57","183.91","172.69","1.05M","-3.13%"
"07/21/2022","181.57","186.57","188.63","179.48","1.27M","-3.23%"
"07/20/2022","187.63","186.22","189.70","183.61","1.52M","0.19%"
"07/19/2022","187.28","179.05","187.90","171.97","4.52M","-4.51%"
"07/18/2022","196.12","196.94","203.19","194.50","1.10M","2.38%"
"07/15/2022","191.57","187.75","192.52","183.51","733.97K","4.49%"
"07/14/2022","183.34","183.11","184.62","178.20","910.26K","-2.92%"
"07/13/2022","188.85","183.99","189.60","180.64","634.61K","-0.02%"
"07/12/2022","188.89","187.95","193.26","185.51","509.41K","0.37%"
"07/11/2022","188.20","190.16","191.53","187.11","441.34K","-2.72%"
"07/08/2022","193.46","192.51","195.22","188.65","493.99K","0.08%"
"07/07/2022","193.30","188.75","193.92","188.75","492.66K","3.99%"
"07/06/2022","185.88","187.26","191.66","183.19","505.76K","-1.88%"
"07/05/2022","189.44","178.35","189.58","176.65","524.68K","2.89%"
"07/01/2022","184.12","178.85","184.87","178.10","522.08K","2.74%"
"06/30/2022","179.21","177.55","182.56","170.82","964.76K","-2.60%"
"06/29/2022","184.00","187.28","187.48","182.27","546.20K","-1.89%"
"06/28/2022","187.55","191.31","195.46","186.59","680.60K","-0.90%"
"06/27/2022","189.26","193.06","194.97","186.84","631.84K","-1.50%"
"06/24/2022","192.14","184.07","196.77","183.87","1.15M","4.92%"
"06/23/2022","183.13","178.32","184.68","177.00","1.23M","3.07%"
"06/22/2022","177.67","173.00","179.33","170.82","1.02M","1.21%"
"06/21/2022","175.55","177.35","181.76","175.17","1.10M","2.25%"
"06/17/2022","171.68","168.43","174.28","168.03","1.68M","2.46%"
"06/16/2022","167.55","174.89","174.89","165.36","1.08M","-7.38%"
"06/15/2022","180.91","179.74","186.90","178.19","966.65K","1.60%"
"06/14/2022","178.06","177.00","179.04","173.53","1.24M","2.30%"
"06/13/2022","174.05","189.27","190.04","170.76","2.11M","-13.67%"
"06/10/2022","201.62","207.06","211.58","200.58","1.58M","-6.19%"
"06/09/2022","214.92","222.64","222.64","214.28","1.06M","-3.85%"
"06/08/2022","223.53","221.94","225.41","220.48","823.45K","-1.06%"
"06/07/2022","225.92","219.26","226.11","217.82","862.13K","1.15%"
"06/06/2022","223.35","220.97","226.59","219.68","826.29K","2.44%"
"06/03/2022","218.04","215.67","219.56","215.24","740.21K","-0.93%"
"06/02/2022","220.09","210.40","220.66","210.20","673.64K","3.90%"
"06/01/2022","211.83","216.04","218.33","207.94","1.23M","-2.05%"
"05/31/2022","216.27","210.77","218.81","207.90","1.32M","2.26%"
"05/27/2022","211.49","203.86","211.77","203.86","868.45K","3.95%"
"05/26/2022","203.46","197.70","204.19","196.02","1.19M","2.75%"
"05/25/2022","198.02","190.71","200.99","190.66","937.63K","3.74%"
"05/24/2022","190.88","196.52","196.52","185.74","715.77K","-3.47%"
"05/23/2022","197.74","194.71","200.69","190.89","1.04M","3.59%"
"05/20/2022","190.89","193.76","194.10","184.81","992.17K","1.01%"
"05/19/2022","188.99","187.76","193.52","187.06","1.44M","-0.47%"
"05/18/2022","189.89","194.99","197.42","188.62","1.67M","-3.53%"
"05/17/2022","196.84","193.63","198.15","190.29","1.26M","5.30%"
"05/16/2022","186.93","200.96","200.96","186.32","1.74M","-7.09%"
"05/13/2022","201.20","199.70","210.26","198.60","2.07M","6.35%"
"05/12/2022","189.18","189.95","190.32","179.05","4.13M","-2.74%"
"05/11/2022","194.50","216.00","217.10","193.55","2.41M","-10.78%"
"05/10/2022","218.01","224.44","227.79","210.00","1.17M","-0.92%"
"05/09/2022","220.03","230.98","230.98","216.56","1.55M","-6.31%"
"05/06/2022","234.86","245.53","246.35","231.69","1.03M","-4.52%"
"05/05/2022","245.97","256.81","257.87","241.56","924.50K","-6.60%"
"05/04/2022","263.35","254.36","264.39","248.20","603.62K","4.05%"
"05/03/2022","253.11","249.42","256.07","246.90","549.43K","1.80%"
"05/02/2022","248.63","245.03","249.21","239.90","717.38K","2.63%"
"04/29/2022","242.25","251.48","254.43","240.79","776.28K","-3.69%"
"04/28/2022","251.54","251.34","252.84","242.45","664.39K","1.64%"
"04/27/2022","247.49","247.81","252.42","245.73","500.90K","-0.13%"
"04/26/2022","247.81","257.96","259.37","247.65","652.11K","-5.08%"
"04/25/2022","261.06","257.33","261.56","251.99","755.50K","0.61%"
"04/22/2022","259.49","267.52","271.84","259.01","848.38K","-2.52%"
"04/21/2022","266.19","290.10","294.00","265.08","1.22M","-7.29%"
"04/20/2022","287.11","291.55","296.96","285.26","922.74K","-0.38%"
"04/19/2022","288.20","274.50","289.35","274.06","1.51M","8.10%"
"04/18/2022","266.61","264.36","267.61","261.08","619.24K","0.26%"
"04/14/2022","265.91","274.92","276.00","264.95","668.05K","-3.03%"
"04/13/2022","274.21","268.63","275.33","266.92","577.89K","2.05%"
"04/12/2022","268.69","271.92","276.28","266.77","666.47K","-0.54%"
"04/11/2022","270.16","265.98","275.10","262.79","675.40K","1.38%"
"04/08/2022","266.48","273.20","273.20","264.95","755.75K","-1.29%"
"04/07/2022","269.95","276.63","277.36","262.64","1.17M","-2.33%"
"04/06/2022","276.39","279.20","280.62","272.87","868.15K","-2.22%"
"04/05/2022","282.67","288.00","292.20","282.04","567.35K","-2.19%"
"04/04/2022","289.01","288.68","293.73","284.57","529.85K","-0.28%"
"04/01/2022","289.82","300.19","302.71","288.26","677.66K","-1.25%"
"03/31/2022","293.49","306.08","307.04","293.00","1.02M","-4.24%"
"03/30/2022","306.47","316.90","317.63","302.41","1.19M","-3.04%"
"03/29/2022","316.07","311.16","319.93","309.75","893.71K","4.16%"
"03/28/2022","303.44","306.35","307.39","298.65","535.53K","-1.64%"
"03/25/2022","308.51","306.45","313.59","306.02","431.63K","0.98%"
"03/24/2022","305.53","304.91","309.77","300.74","753.09K","1.85%"
"03/23/2022","299.99","316.79","317.53","292.28","1.79M","-6.60%"
"03/22/2022","321.18","317.55","328.88","316.67","821.66K","3.31%"
"03/21/2022","310.88","313.58","318.49","305.89","983.02K","-0.57%"
"03/18/2022","312.65","316.40","317.15","305.80","2.14M","-1.18%"
"03/17/2022","316.39","313.50","318.90","311.16","817.89K","-1.29%"
"03/16/2022","320.51","302.33","320.82","302.28","1.17M","8.66%"
"03/15/2022","294.96","290.03","295.76","286.84","800.29K","1.79%"
"03/14/2022","289.78","299.03","302.76","287.79","1.12M","0.18%"
"03/11/2022","289.25","312.16","316.66","288.56","1.08M","-6.49%"
"03/10/2022","309.33","299.90","310.33","299.21","510.41K","0.93%"
"03/09/2022","306.49","299.51","310.06","298.07","946.36K","7.28%"
"03/08/2022","285.69","283.44","295.00","272.77","1.19M","2.78%"
"03/07/2022","277.95","303.93","305.42","276.94","1.25M","-8.82%"
"03/04/2022","304.83","319.20","320.91","296.76","980.05K","-7.10%"
"03/03/2022","328.11","337.18","339.56","325.68","682.43K","-2.69%"
"03/02/2022","337.18","321.80","341.42","318.20","966.88K","6.45%"
"03/01/2022","316.75","341.09","342.14","310.33","1.19M","-8.16%"
"02/28/2022","344.89","339.71","350.23","337.46","807.77K","-1.46%"
"02/25/2022","349.99","330.80","350.53","327.45","912.65K","7.46%"
"02/24/2022","325.70","316.19","327.77","307.02","1.20M","-1.76%"
"02/23/2022","331.52","344.04","349.83","330.64","882.83K","-2.75%"
"02/22/2022","340.91","333.01","346.24","332.13","830.75K","1.69%"
"02/18/2022","335.25","338.07","343.92","334.51","601.37K","-0.99%"
"02/17/2022","338.59","344.64","346.28","337.95","489.64K","-3.22%"
"02/16/2022","349.86","339.50","350.40","339.50","523.87K","2.23%"
"02/15/2022","342.24","337.14","344.31","335.40","533.08K","3.28%"
"02/14/2022","331.37","337.01","340.55","326.47","604.53K","-1.55%"
"02/11/2022","336.59","341.09","351.04","332.95","695.75K","-2.14%"
"02/10/2022","343.96","341.18","355.51","338.23","798.12K","1.12%"
"02/09/2022","340.14","338.55","346.61","337.09","440.81K","0.82%"
"02/08/2022","337.37","325.56","338.46","325.50","827.87K","4.35%"
"02/07/2022","323.30","320.87","328.18","319.99","532.87K","0.76%"
"02/04/2022","320.87","311.99","325.07","310.78","867.75K","3.25%"
"02/03/2022","310.78","313.28","320.21","307.07","537.12K","-1.79%"
"02/02/2022","316.44","318.81","319.61","312.07","640.52K","-0.69%"
"02/01/2022","318.63","304.89","319.57","303.19","917.69K","4.60%"
"01/31/2022","304.63","300.09","308.02","294.12","1.10M","1.18%"
"01/28/2022","301.07","295.16","301.10","289.44","754.41K","1.55%"
"01/27/2022","296.48","309.69","315.52","293.03","1.06M","-2.97%"
"01/26/2022","305.54","317.90","320.37","300.77","1.52M","-1.54%"
"01/25/2022","310.31","309.79","316.54","298.83","1.11M","-1.23%"
"01/24/2022","314.17","317.47","317.57","293.76","2.19M","-3.73%"
"01/21/2022","326.33","336.13","338.00","325.39","1.39M","-4.02%"
"01/20/2022","340.00","351.43","355.59","339.00","1.20M","-3.25%"
"01/19/2022","351.43","365.42","367.29","351.12","1.69M","-1.20%"
"01/18/2022","355.70","374.76","374.76","345.17","1.32M","-2.65%"
"01/14/2022","365.39","360.27","366.45","355.94","913.64K","0.07%"
"01/13/2022","365.15","366.39","372.50","364.35","655.51K","-0.23%"
"01/12/2022","366.00","363.97","371.42","362.14","853.12K","1.47%"
"01/11/2022","360.71","354.19","361.76","344.76","646.12K","2.11%"
"01/10/2022","353.24","365.45","367.12","346.00","1.12M","-3.41%"
"01/07/2022","365.71","362.00","370.90","356.98","1.25M","0.90%"
"01/06/2022","362.46","343.46","362.64","340.38","1.21M","6.29%"
"01/05/2022","341.00","337.43","347.40","337.43","1.17M","1.77%"
"01/04/2022","335.08","331.50","339.39","329.61","685.42K","2.36%"
"01/03/2022","327.34","325.97","331.58","323.18","523.69K","1.20%"
"12/31/2021","323.47","318.91","326.07","318.91","295.68K","1.18%"
"12/30/2021","319.70","321.91","328.01","319.58","326.25K","-0.38%"
"12/29/2021","320.92","324.49","326.34","320.51","346.88K","-1.01%"
"12/28/2021","324.21","326.42","328.09","322.21","341.41K","-0.73%"
"12/27/2021","326.60","319.68","328.21","316.54","455.90K","2.15%"
"12/23/2021","319.73","322.56","326.74","318.88","577.43K","-0.18%"
"12/22/2021","320.30","315.31","320.87","311.78","513.04K","1.42%"
"12/21/2021","315.82","302.92","316.00","302.92","742.14K","5.34%"
"12/20/2021","299.80","295.13","300.90","292.00","1.26M","-1.21%"
"12/17/2021","303.47","301.29","304.13","288.15","12.06M","-0.26%"
"12/16/2021","304.26","306.30","311.70","301.33","1.46M","0.33%"
"12/15/2021","303.26","301.96","307.42","295.63","1.14M","1.15%"
"12/14/2021","299.82","293.86","301.80","292.04","854.99K","1.43%"
"12/13/2021","295.58","304.49","305.53","291.43","744.38K","-3.07%"
"12/10/2021","304.95","317.64","319.14","298.68","851.88K","-3.30%"
"12/09/2021","315.35","320.22","324.01","314.35","530.22K","-1.71%"
"12/08/2021","320.84","319.31","324.34","314.30","727.72K","0.82%"
"12/07/2021","318.23","315.59","321.96","314.67","724.55K","2.21%"
"12/06/2021","311.34","310.29","314.30","299.01","979.58K","1.83%"
"12/03/2021","305.73","320.82","321.68","302.41","668.23K","-4.34%"
"12/02/2021","319.60","310.51","321.44","306.01","886.89K","4.78%"
"12/01/2021","305.01","314.20","323.13","303.53","1.39M","0.90%"
"11/30/2021","302.30","324.50","329.04","299.94","4.47M","-7.58%"
"11/29/2021","327.08","329.62","336.65","324.45","1.47M","0.35%"
"11/26/2021","325.95","328.93","329.59","319.47","746.04K","-4.03%"
"11/24/2021","339.63","334.67","342.03","332.78","527.30K","1.04%"
"11/23/2021","336.14","333.56","337.00","328.64","888.97K","1.06%"
"11/22/2021","332.61","336.19","339.39","328.75","1.09M","0.19%"
"11/19/2021","331.99","326.27","332.51","319.23","995.83K","1.22%"
"11/18/2021","328.00","324.27","328.57","320.73","633.10K","1.42%"
"11/17/2021","323.42","322.10","324.69","316.67","378.24K","0.41%"
"11/16/2021","322.10","319.53","325.33","316.82","484.69K","0.20%"
"11/15/2021","321.45","319.20","323.29","317.00","387.77K","2.05%"
"11/12/2021","314.99","315.58","323.09","313.07","541.54K","-0.15%"
"11/11/2021","315.45","316.10","319.43","314.24","475.63K","0.02%"
"11/10/2021","315.38","323.97","326.29","314.90","531.84K","-2.43%"
"11/09/2021","323.23","319.01","323.34","315.67","513.81K","0.68%"
"11/08/2021","321.04","327.00","328.74","319.02","647.92K","0.12%"
"11/05/2021","320.64","322.23","326.32","314.44","382.47K","0.36%"
"11/04/2021","319.49","326.36","326.36","312.58","625.70K","-1.90%"
"11/03/2021","325.69","315.00","327.44","314.89","806.40K","3.35%"
"11/02/2021","315.12","311.54","315.40","308.16","540.56K","1.31%"
"11/01/2021","311.05","301.36","313.07","298.99","1.19M","4.44%"
"10/29/2021","297.82","301.70","307.68","295.50","689.70K","-0.99%"
"10/28/2021","300.80","296.01","301.48","292.40","682.14K","1.77%"
"10/27/2021","295.56","304.28","307.39","294.26","666.20K","-4.02%"
"10/26/2021","307.93","313.10","314.80","304.24","534.53K","-1.43%"
"10/25/2021","312.40","317.51","317.51","310.42","413.41K","-0.96%"
"10/22/2021","315.44","311.44","316.95","310.45","435.25K","1.86%"
"10/21/2021","309.69","310.87","311.21","305.10","442.49K","-0.03%"
"10/20/2021","309.79","300.15","311.34","299.15","611.17K","4.40%"
"10/19/2021","296.74","308.44","308.95","289.31","1.43M","-3.79%"
"10/18/2021","308.44","304.08","313.00","303.93","682.35K","0.95%"
"10/15/2021","305.53","305.56","309.84","303.21","570.81K","1.54%"
"10/14/2021","300.89","301.86","303.13","296.89","575.26K","1.01%"
"10/13/2021","297.88","294.09","298.09","291.32","526.87K","0.85%"
"10/12/2021","295.38","294.83","300.47","294.00","418.70K","0.01%"
"10/11/2021","295.35","301.94","307.50","293.66","496.33K","-1.54%"
"10/08/2021","299.96","291.39","301.08","290.48","407.84K","2.46%"
"10/07/2021","292.76","296.55","299.58","291.56","384.28K","0.74%"
"10/06/2021","290.62","285.21","291.02","278.73","393.40K","0.50%"
"10/05/2021","289.16","292.35","294.34","288.48","451.04K","-0.16%"
"10/04/2021","289.62","287.08","293.96","285.48","755.72K","1.23%"
"10/01/2021","286.09","274.70","286.50","272.01","557.54K","5.07%"
"09/30/2021","272.28","276.89","278.88","271.41","461.94K","-1.22%"
"09/29/2021","275.65","272.96","278.36","270.68","402.19K","1.21%"
"09/28/2021","272.35","276.46","280.09","271.42","618.68K","-1.55%"
"09/27/2021","276.64","262.72","277.61","261.77","970.17K","6.08%"
"09/24/2021","260.79","257.04","263.65","256.33","511.75K","-0.07%"
